time,lat,lon,depth,chla_acs
43583.45347,26.552595,-157.999417,6,0.087972
43583.45278,26.555892,-157.999622,6,0.088962
43583.45208,26.559179,-157.999763,6,0.088272
43583.45139,26.562445,-157.999939,6,0.084834
43583.45069,26.565724,-158.00009,6,0.087015
43583.45,26.569015,-158.000367,6,0.087135
43583.44931,26.572297,-158.000547,6,0.087185
43583.44861,26.575563,-158.000685,6,0.087704
43583.44792,26.578856,-158.000767,6,0.091984
43583.44722,26.58213,-158.000785,6,0.088401
43583.44653,26.585421,-158.000779,6,0.09245
43583.44583,26.58871,-158.000875,6,0.091844
43583.44514,26.592012,-158.00095,6,0.088942
43583.44444,26.595327,-158.000796,6,0.083808
43583.44375,26.59866,-158.000616,6,0.080378
43583.44306,26.601976,-158.000407,6,0.084466
43583.44236,26.605306,-158.000203,6,0.084745
43583.44167,26.608635,-158.000005,6,0.086484
43583.44097,26.611959,-157.999816,6,0.087014
43583.44028,26.615264,-157.999696,6,0.087246
43583.43958,26.618566,-157.999714,6,0.087677
43583.43889,26.62188,-157.999654,6,0.087777
43583.43819,26.625187,-157.999436,6,0.091951
43583.4375,26.628509,-157.999189,6,0.091166
43583.43681,26.631834,-157.998966,6,0.092618
43583.43611,26.635169,-157.998809,6,0.096732
43583.43542,26.638538,-157.998634,6,0.09537
43583.43472,26.641873,-157.9984,6,0.092255
43583.43403,26.645235,-157.998279,6,0.092471
43583.43333,26.648587,-157.998094,6,0.092714
43583.43264,26.651932,-157.997846,6,0.092804
43583.43194,26.655255,-157.997638,6,0.09241
43583.43125,26.658587,-157.997457,6,0.093013
43583.43056,26.6619,-157.997246,6,0.092164
43583.42986,26.665211,-157.99703,6,0.093485
43583.42917,26.66852,-157.99681,6,0.093839
43583.42847,26.671815,-157.996604,6,0.096669
43583.42778,26.675102,-157.996388,6,0.096767
43583.42708,26.678404,-157.996177,6,0.097065
43583.42639,26.681697,-157.996069,6,0.096969
43583.42569,26.684984,-157.995765,6,0.096728
43583.425,26.688278,-157.995543,6,0.096559
43583.42431,26.691579,-157.995372,6,0.096618
