time,lat,lon,depth,sst
43579.77293,42.33349994,-158.0000692,6,9.226286744
43579.68963,42.29881234,-158.0002459,6,9.225865687
43579.60623,41.950718,-157.9999285,6,9.37038759
43579.52222,41.55866231,-157.9999091,6,9.731587039
43579.43892,41.16950661,-158.0012708,6,10.05922224
43579.35553,40.795074,-157.9996507,6,10.16428327
43578.97983,39.11513147,-158.0002182,6,11.98523664
43578.89653,38.75760668,-157.9998734,6,12.08612038
43578.81323,38.41757564,-158.0007208,6,12.26029341
43578.71392,37.96440968,-157.9788264,6,13.03117007
43578.63053,37.58781468,-158.0001405,6,13.13355993
43578.54722,37.21432064,-158.0005413,6,13.21588175
43578.46392,36.84267203,-158.0023628,6,13.30387406
43578.29722,36.13654413,-157.9999098,6,14.39757065
43578.00273,35.34074881,-158.0001051,6,14.98562247
43577.91943,35.02056646,-158.0012109,6,14.83409371
43577.83543,34.68878959,-158.0004901,6,15.22412469
43577.75213,34.36782469,-158.0000786,6,15.37518543
43577.58543,33.67311098,-158.0001296,6,16.90603911
43577.49722,33.28664483,-157.9984092,6,17.49437189
43576.40693,33.44149253,-158.0001513,6,17.2012736
43576.34443,33.683081,-157.9993737,6,16.71388359
43576.28193,33.94161988,-158.000283,6,16.37301269
43576.21943,34.22089602,-157.9995554,6,15.50475474
43576.15623,34.49662013,-157.9996322,6,15.12577501
43576.09373,34.76300166,-157.9997136,6,15.30769645
43576.03123,35.0249144,-157.9997476,6,14.96848955
43575.91252,35.5156077,-157.9998572,6,14.91430941
43575.85002,35.74974071,-157.9996424,6,15.01056799
43575.72502,36.2662269,-157.9780752,6,14.55629116
43575.66252,36.51131362,-157.9991806,6,13.67862748
43575.60002,36.77784873,-158.0000687,6,13.53414439
43574.64373,37.28314781,-157.999975,6,13.29457051
43574.58123,37.5459597,-157.9999109,6,13.04301325
43574.51873,37.80770521,-157.9994735,6,12.98692402
43574.45623,38.09765883,-158.0000046,6,12.39935345
43574.39373,38.39544175,-158.0014719,6,12.22724252
43574.26873,38.97804535,-157.999678,6,11.49252321
43574.19862,39.29835483,-157.9997241,6,11.83896461
43574.13612,39.56205298,-157.9996986,6,11.26227154
43574.07362,39.80553874,-157.9991881,6,11.3394507
43574.01112,40.05029943,-157.9991484,6,11.19294529
43573.94862,40.29969203,-158.0005324,6,11.58326725
43573.88612,40.55448004,-157.9984872,6,11.20733087
43571.27913,41.67556293,-158.0395199,6,9.68837218
43571.21663,41.67548731,-158.0395911,6,9.71334266
43571.15413,41.67595878,-158.0393393,6,9.720430237
43571.02843,41.66901074,-158.005943,6,9.712451903
43570.96593,41.53818491,-158.0000788,6,9.727487521
43570.90343,41.25494094,-157.9997274,6,9.861704759
43570.82913,40.91558275,-158.0007605,6,10.34660306
43570.76663,40.66772493,-158.0002389,6,11.0959111
43570.70413,40.41110169,-157.978849,6,11.12486314
43570.64163,40.15844537,-158.0001988,6,11.48418004
43570.57913,39.89998752,-158.0001424,6,11.26216365
43570.51663,39.64183051,-157.9999217,6,11.57663199
43570.45343,39.37226136,-157.9998063,6,11.68032323
43570.27642,38.61265442,-157.999705,6,12.30613011
43570.21392,38.3331165,-158.0000668,6,12.61549047
43569.90073,36.99260976,-158.0030652,6,13.58387799
43569.57773,36.73514757,-158.0003117,6,13.35155001
43569.51523,36.505937,-157.9999866,6,13.99745201
43569.45243,36.27242805,-158.0000948,6,14.61447594
43569.38963,36.02930781,-158.0007672,6,14.7168136
43569.32713,35.79514648,-157.9966145,6,14.90227141
43569.26463,35.56823464,-158.0005352,6,15.08608529
43569.20213,35.34329225,-157.9999011,6,15.15346205
43569.11943,35.04175893,-158.0003315,6,15.22419538
43569.05693,34.81268254,-157.9997428,6,15.79443657
43568.99443,34.59028048,-158.0003002,6,15.97248648
43568.93193,34.36641985,-158.0003788,6,15.8864069
43568.86943,34.13819742,-157.9999,6,15.63913652
43568.80693,33.90774135,-157.997818,6,16.42020302
43568.74443,33.6776535,-158.0001499,6,17.03919033
43568.67913,33.44641263,-157.99999,6,17.14569969
43568.61663,33.22466952,-157.9999394,6,17.42788217
43568.55413,32.99405506,-158.0002049,6,17.28074522
43568.49163,32.76880425,-158.0001201,6,17.49783627
43568.42883,32.54043314,-158.0001824,6,17.52245154
43568.36593,32.30193139,-158.0001571,6,17.91471022
43568.30343,32.06571624,-158.0007909,6,18.03544195
43567.72642,30.71494775,-158.0003766,6,18.62264901
43567.66392,30.4751632,-157.9999692,6,19.55859135
43567.60142,30.23916073,-158.0001788,6,19.70555033
43567.53892,30.01547777,-157.9970789,6,19.67139898
43567.47642,29.81992194,-157.9881231,6,19.60530241
43567.41392,29.63621285,-158.0010268,6,19.65270539
43567.35142,29.40003145,-157.9996767,6,19.6582926
43567.28123,29.13893367,-158.0003598,6,19.78703962
43567.21873,28.89188534,-158.0002278,6,19.87738897
43567.15623,28.6619416,-158.0002621,6,20.17080398
43567.09373,28.43873501,-158.0002969,6,21.13267316
43567.03053,28.21287206,-157.9997303,6,21.08799374
43566.96803,27.9866543,-157.999325,6,21.17103196
43566.90553,27.76049726,-158.0002354,6,21.1994033
43566.70073,27.00310227,-158.0007524,6,21.8412
43566.63823,26.79737193,-158.000444,6,21.8412
43566.57502,26.56895396,-157.9994488,6,21.8412
43566.51252,26.35362838,-157.9945512,6,21.8412
43566.45002,26.14284624,-157.9993293,6,21.8412
43566.38752,25.9413766,-158.0004263,6,21.8374122
43566.21392,25.35788379,-157.9995697,6,22.38457888
43566.13023,25.05483856,-157.9997809,6,22.4498828
43565.96323,24.46124623,-158.0007571,6,22.72454593
